Question,Answer,Category,polarity
头发很油，用了有效果吗,很不错，味道很香，油性发质洗了也不干涩,效果,1
你好！14岁男童可以用吗？,大了些了??,适用性,0
这款味道香的受不了?,挺好闻,味道,1
孕妇可以用吗，,可以的，很温和，不刺激,适用性,1
请问12岁小朋友可以使用吗？谢谢，主要想去头皮屑的，谢谢,可以,适用性,1
学初中生能用吗,可以用，有一些效果,适用性,1
你们买到的洗面奶是真货吗,像假的包装像拆过的,认证产品,-1
洗过头后几天会油啊,看个人发质而定，我是油性头发，以前用其他洗发水每天都要洗头，用这个能坚持两天才洗头,效果,0
100g一天用两次可以用多久？,两个月左右,使用寿命,0
清扬有男女都能用吗,都能用，通用的这个洗发水,适用性,1
味道怎么样,个人感觉挺香的。,味道,1
我怎么用了长头屑呢,不会啊,不良反应,1
请问适合十六七岁的青少年使用吗,还行吧,适用性,0
男的用合适吗,沐浴露还分啥男女都可以用啊,适用性,1
去屑效果如何？好闻吗,香香的，很好,效果,1
洗完会不会很干？,还行,不良反应,0
一瓶能用多久？,按一下就可以好多泡沫，自己可以合计下,使用寿命,0
这洗面奶效果怎么样,不错，温和，洗完脸一点不紧绷,效果,1
樱花的味道会不会很刺鼻,味道是不好闻但洗完还可以,味道,-1
这个洗面奶可以祛痘痘吗？16岁可以用的吗？,不能去痘，但是痘肌需要这种温和的洗面奶,功能,-1
会漏不，感觉买的漏的好多,没有漏，包装很严实，外面还有一层薄膜包装,包装,1
会不会太香啊？带着宝宝不适合太香的。,没事的，刚刚好,味道,1
控油不咋样，头屑越用越多。你们的效果怎么样？??,不好用，根本看不出有什么去油功效，和普通洗发水没什么区别。,效果,-1
请问不到2岁的宝宝可以用吗？,可以,适用性,1
洗完之后头发会很塌吗？做造型会难做不,还好吧，可以做造型,不良反应,0
防脱发效果到底怎么样？,有点效果可以试试,效果,0
口是密封的吗？,不是，打开直接露出洗面奶,包装,-1
这个能祛脂肪粒吗？,没啥，至少我没感觉到可以去脂肪粒,功能,-1
你家的是正品吗？,可能是，不确定,认证产品,0
你们有没有发现用完鼻子两侧和下巴长闭口了！,没有,不良反应,1
清洁效果怎么样？,这个蛮好的，我头发较软，容易出油，这个洗完蛮清爽的,清洁力,1
这款洗面奶可以卸妆吗就是防晒霜,卸个素颜霜可以吧,清洁力,1
这个适合干性头发用吗？,可以用,适用性,1
幼儿园小朋友出汗臭，用这个怎么样？,好用,适用性,1
孕早期闻得了这个味道吗,没有问题啊。这个味道不浓,味道,1
会过敏吗,不会,不良反应,1
O丝滑对油性头发能用吗？,能用,适用性,1
一瓶可以用多久,至少也要2个月吧天天洗澡,使用寿命,0
潘婷洗发水香吗？留香久吗？,香，留香不久,味道,-1
是正品吗？和超市里一样吗？,是的，超市不一定是真的，京东自营店没问题,认证产品,1
请问这款洗面奶，男士可以用吗？还是只能女士专用的？,可以啊我就是男的,适用性,1
买了的，觉得值这个价吗？,不好用退了,价格,-1
一天不洗头，头发就油，头皮痒用这个有效果吗？,还行吧，才用一次，不知道是不是真的去油。,效果,0
真的会很香吗？,是的,味道,0
适合全肤质吗，好用吗,我是混合偏干的，这个洗完不拔干，已经用了好几年了,适用性,1
、90可以买吗,应该可以吧！,价格,0
你这个是正品吗？,是,认证产品,1
洗发露洗完会头痒吗,洗完不痒,不良反应,1
用了以后会不会掉头发！？,不会啊，我买了好几次这个品牌的了，洗着挺舒服的，不会掉头发的,不良反应,1
这款去油效果怎样？能防脱吗？,去油效果不错，洗了头发干燥，不防脱。,效果,1
日期是新的么？之前买的到今年九月就到期了也不提示临其产品,日期新鲜,有效期,1
冬天用这个会不会太干燥了,多洗几次就不会干,不良反应,0
有生姜味吗？,没有，味道不难闻,味道,0
请问买过的亲:此款去屑和止痒的效果怎么样呢？,挺好的，我的属于顽固头皮屑，很多年了，用了好多洗发水都不行，这个用着比较不错,效果,1
除螨效果怎样？和除螨包，除螨喷雾搭配用怎样？,没得效果,效果,-1
味道会不会很香，之前在超市闻过绿色溪谷的橙花沐浴露的味道，也很好闻。,这款沐浴露不但气味很好闻，而且还特别容易冲洗,味道,1
头屑多又痒！有效吗？,我们用的不会，是不是你不适合用这款,效果,0
油性头发能控油吗，买很多产品都不行，很烦每天早上都要洗头,油性头发用挺好的，洗完控油效果很好的,效果,1
只有我用了脸上很干吗，我是油皮,我用了不干，挺温和的,不良反应,1
可以防止冒粉刺吗,可以的，多洗几次就行,功能,1
对干皮友好吗？,补水的，对干性皮肤适合，如果是干性皮肤用洗面奶洗过以后还是要用水跟精华乳才不会干！,适用性,1
香味好闻吗？,好一直用这,味道,1
洗了以后会存在很多头皮屑是什么原因,还好，不会很多,不良反应,0
有炎症可以用吗？,关键看你什么炎症,适用性,0
宝们，挤出来是不是有颗粒感，起泡后就没有了,没有颗粒感哦,质地,1
可以祛痘吗？,不能祛痘,功能,-1
这个洗面奶味道是不是很难闻，我是不是买到假货,是真的难闻,味道,-1
掉头发吗？,没感觉到,不良反应,0
去屑不？,去油去屑，而且头皮还很凉爽，夏天用不错！,功能,1
去头屑吗,头皮屑多的你无法想象，而且痒死人,功能,-1
可以拿来洗碗的吗？,洗碗时顺带把头给洗了,功能,0
去头皮屑吗,可以去头屑啊,效果,1
请问这个会不会洗完感觉冲不干净？,不会，回购无数年,易冲洗,1
这洗面奶用后可以和别的补水喷雾用吗,可以的、洗面奶只是洁面、,适用性,1
身体发痒有用吗？,一般般,功能,0
泡沫多吗,多的,质地,1
孩子用适应吗？,小的孩子还是建议用儿童的,适用性,0
清洁力怎么样？？,我没有用过资生堂，但是觉得这款是不错的，价格还不贵。,清洁力,1
孕妇可以用吗？,可以,适用性,1
这个治头皮屑吗？,效果不错，但是停用后不知道会不会再有,功能,1
有没有人用后浑身痒？,还好吧,不良反应,0
好用吗？,能用,效果,0
可以止痒吗？很痒可以止痒吗？？？,没什么感觉，就觉得有点控油,功能,0
为什么感觉是香皂水的味道，蓝色的味道特别重，紫色味道好一点，你们也是这样的吗？,是的,味道,1
清洁度怎么样,一般吧哈哈,清洁力,0
有除螨功能吗,效果不是很明显,功能,0
敏感肌用着怎么样？,还行，也就这样,适用性,0
起泡沫么？去油效果怎么样？,控油效果还不错，泡沫丰富,效果,0
油性皮肤洗的干净且顺滑吗？,是的，挺好用,效果,1
去油吗？？,效果很好,效果,1
用了会不会脱发？,还可以洗头肯定会掉头发啊,不良反应,0
请问这个洗面奶洗完干了会不会起皮，我皮肤很干,会干，但是要补水，经常补水就没事,不良反应,-1
有没有用了以后宝宝头上很多头皮屑的？,没有发现,不良反应,1
包装盒里面没有一张产品说明书，是真货？,希望是假货，这样就能假一赔十了,认证产品,0
有没有谁家孩子用完身上起疙瘩的？,没有,不良反应,1
男的可以用吗??,能啊，我就买了,适用性,1
你们用过之后眼睛红吗？我儿子眼睛红得吓人,还没用,不良反应,0
不包邮吗？,我买的时候没有包邮，看活动吧,物流,-1
洗过后，身上还是不是蛮滑，有一种没洗干净感吗？好冲洗吗,建议少用点，用起泡网,易冲洗,0
这个，我就想问用完还痒吗,控油去屑一流,效果,0
这个去油控油效果好吗，背上爱起小疙瘩。麻烦用过的朋友提提感受。,一般的沐浴露，对背后的小疙瘩估计没啥帮助,效果,0
宝子们我是细软蹋发质，还天天出油，推荐这款吗,这款用了一两个月了，头屑多了，头皮也痒,适用性,-1
可以去头皮屑吗,坚持天天洗,功能,0
适合哺乳期用吗？,可以啊，没有影响,适用性,1
真的有去屑控油的效果吗,刚开始用还是不错的,效果,0
请问这个大小能装进洗漱包吗？,不能,尺寸,-1
为啥我用了泡沫少的可怜，怎么样都打不出泡沫。,起泡网了解一下,质地,0
这个可以去油吗，我是油性皮肤,可以,功能,1
洗完之后会还是很油吗？柔顺吗？10岁建不建议用,不会哦，很不错的,效果,1
这个可以卸妆吗,防水妆必须用卸妆油，有空多看庄尼走路的小红书,清洁力,-1
都没有封口也没有外面盒用塑料封上？,有呢呀,包装,1
这个可以有效的去除头皮屑吗,挺有效的,效果,1
这个敏感肌能用吗,可以用，中性的,适用性,1
洗完掉头发多吗？,还好,不良反应,0
洗完身上会不会滑滑的像冲不干净那样？,那叫假滑，这个沐浴露不会假滑的。,易冲洗,1
这款可以改善毛躁？,控油效果很好,功能,1
你们洗完会不会起皮吗？,表示没有遇到这个情况,不良反应,1
用到后面会不会就不香了,还行吧,效果,0
为什么我那天用了之后，第二天超多头皮屑,没有，天天洗,不良反应,1
对很多沐浴露都会过敏，这个沐浴露洗完身上会痒吗,不会，容易冲洗，不滑,不良反应,1
这款标注是3岁以上用的，有新生儿用的吗？,个人觉得问题不大，但新生儿建议咨询官方,适用性,0
可以增发吗有用吗,我也是刚买的，试试看,功能,0
香不香的啊,香,味道,1
买的自营你们洗脸有泡沫么？,有呀,质地,0
我皮肤比较油，这款去油吗？,要买专控油的,功能,0
有没有用了感觉皮肤很紧绷，特别干的？我用了这个感觉皮肤特别干，特别紧绷,我用完也很干，不敢用了,不良反应,-1
轻微痘痘，轻微油性皮肤，男生用起来怎么样？,很温和,适用性,1
这个用完会掉发吗？,会,不良反应,-1
这个有封口吗？,没有封口的,包装,-1
蓬松效果怎么样,没用，还是油,效果,-1
你们用这个会不会有股味道，有些难闻,很好闻啊，有一种奶香味儿，就像婴儿身上的体香,味道,1
小孩子可以用吗？,可以的,适用性,1
包装盒里面没有一张产品说明书，是真货？,好像是没有的，有说明书就能证明是真货了嘛。,认证产品,0
可以收缩毛孔吗，和祛痘痘吗,可以祛死皮，祛油脂,功能,0
这个洗面奶油皮洗的干净嘛,干净温和,清洁力,1
有没有人用后浑身痒？,很好用，我一直用这个，不假滑，也不会痒,不良反应,1
这个洗面奶，用着是不是会长痘,清洁力不太强，比较温和，所以如果比较油会洗不干净，可能会憋出痘。,不良反应,0
这款去屑止痒吗,各人肤质不同、效果不同，我用还行，老婆说第二天就痒了,功能,0
去头皮屑吗,头皮屑越洗越多,功能,-1
请问是正品吗？感觉液体较稀,是正品，好用,认证产品,1
这款沐浴露多泡沫，容易过清水吗？,泡沫量适中，易清洗,易冲洗,1
这个品牌适合13岁少女吗,可以,适用性,1
排浊的洗完会不会很干?秋冬季节皮肤比较干，介绍跟评论都说润肤,不干比较滋润,不良反应,1
2个人一瓶能用多久啊？,哈哈。这个得看下手的力度。威武勇猛的应该几天就没咯,使用寿命,0
请问易冲洗么,易冲，香味也好，挺润肤的,易冲洗,1
味特别香吗,洗头发香，类似奶香,味道,1
头发很油，手摸都有油的，现在用伊卡璐都要每天洗头，这个洗发水控油效果怎么样？,你可以试试这款效果如何,效果,0
留香持续多久,没太留香吧，味道很淡很清一会就没了，我反正比较喜欢这一款,效果,-1
你们都有包装吗,有,包装,1
我的头发洗完后第二天就出油了，请问这个生姜的可以改善到两天一洗吗？而且防脱发怎么样啊？朋友们,个人体验洗过两天后头皮屑特多,效果,-1
从来不长痘，用完满脸冒痘,是闭口吗？确实是有两个致痘成分不合适就换吧,不良反应,0
去油咋样？蓬松吗？,蓬松是肯定的,效果,0
紫吕用完头皮痒吗？头皮屑多吗,我用了后，挺好的,不良反应,1
这款去角质效果好吗，有明显下泥吗,去角质还是买专门去角质的产品吧,效果,-1
用完过敏么,不会,不良反应,1
软榻发质用了会蓬松吗,还行,效果,0
这个去鼻子上的黑头效果怎么样？,没啥感觉,效果,0
这款洗了滑不滑？,不滑，很好冲洗,易冲洗,1
这个好不好用啊，味道怎么样,各人觉得味道好，我用两年多了，我老公说味道好极了,味道,1
请问这款氨基酸洗面奶12岁男孩可以用吗？,可以的，氨基酸洗面奶很温和的,适用性,1
请问有效期是好久的？,没注意，反正没过期,有效期,1
请问用完了头发会很涩吗,涩，需要护发素,不良反应,-1
后面说明还特意标注了;女士适用;，有男生用这个吗？感觉怎么样？,用了一瓶了感觉脱发越来越严重,适用性,-1
去黑头行不,洗面奶也就只能进行表面的清洁有黑头建议用点清洁面膜吧,功能,0
可以去黑头吗，清洁能力怎么样,不能祛黑头~清洁能力还行，洗了以后脸有点干,清洁力,0
头皮较多适合这款去屑效果真的好吗？,应该还可以,效果,0
可以洗干净身体乳嘛，涂的身体乳在洗澡的时候会变滑，这个可以洗干净吗？??????,可以吧,清洁力,0
友友们这款洗了面上会不会起干皮？,还行吧。用完挺润的。,不良反应,0
会有洗不干净的感觉吗,我感觉没用痘痘反而多了,易冲洗,0
洗了头发蓬松吗,挺蓬松的,效果,1
大家买的有密封包装吗？瓶口有密封的锡纸贴吗？,包装纸盒,包装,0
以前用的洗发头痒，这款海飞丝有止痒效果？,止痒效果不错,效果,1
可以用来当洗面奶洗脸吗？,不能，洗面奶和沐浴露没有一个字是搭边的,功能,-1
亲你们买的洗面奶有颗粒？,有一点点吧，看着有，在手上感觉不出来,质地,-1
请问这个可以去头皮屑可以喝吗？在线等，比较急,不能,功能,-1
问一下大家，永久性敏感肌可以用吗,可以,适用性,1
洗完会滑吗,冲干净就不会很滑,易冲洗,0
泡沫丰富吗？,好用,质地,1
你们用完头痒吗，怎么用完头又油又痒的还起头皮屑,不痒没皮屑,不良反应,1
为啥我洗的第一天还可以，第二天有感觉比较油,一样,效果,-1
这沐浴露怎么样，好用吗？味道好吗,一直用得,效果,1
中国人不骗中国人，洗完脸会紧绷吗？,基本不会,不良反应,1
头发毛躁，用完沙宣会变顺滑吗？,会顺滑,功能,1
用完头痒吗,用完头不痒，比较清爽！,不良反应,1
用这个洗头容易掉发吗,不会吧，我洗完还香香的,不良反应,0
求问去屑嘛，止痒吗，求真实回答急回,可以,效果,1
洗完之后会不会感觉头发油,不会，很柔顺,不良反应,1
这款混油皮能用吗，t区能不能洗干净,能用，可以洗干净t区,清洁力,1
你们孩子用了有头皮屑吗？,我家孩子用了有！,不良反应,-1
去屑吗这款去屑止痒的,娃娃没头屑吧！头发洗勤一点就不会痒了吧！,效果,0
有没有用了78年左右？我现在掉的快成秃头了。,目前用着还可以,不良反应,0
怎么样呢，买过的朋友们,很好,效果,1
是不是假货啊？,不是,认证产品,1
男士油性发质，而且有顽固头皮屑，用这个好使么,好使，用去油的,效果,1
这么便宜？是正品吗,自营店肯定是正品，这个京东出货量这么大，很难有假的。,认证产品,1
干发质，不能用去油的，这个滋润吗,清凉感觉不是很明显,功能,0
适合男人使用吗,都行,适用性,1
这个去屑怎么样，我有点头皮屑，头发也有点油,我觉得还可以，我一直在用,效果,0
易冲洗吗,他们都乱说，这款是滋润型，有点滑，只是比其他产品好，我就讨厌滑的，六神其他的不滑，特别是冰片那种，我买错了,易冲洗,-1
会掉头发吗？,掉头发应该是肾阳虚，要调理身体，跟洗发水关系不大。,不良反应,0
去头皮屑头痒效果咋样,之前给孩子换了好几个牌子，这个个人觉得好用,效果,1
我买两套都没送的东西,我也没送,赠品,-1
十二岁的初中生可以用吗，我想买给我女儿，不知道行不行,可以用的,适用性,1
洗过头后几天会油啊,每天都要洗，,效果,0
用后会头皮痒吗,会,不良反应,-1
香味次鼻吗,不会的,味道,1
二个月宝宝可以用吗？,建议不要用太小了,适用性,-1
是正品吗，感觉如何,是正品的;,认证产品,1
洗完假滑吗？,没有啊，买过很多次了,易冲洗,1
你们买来时候是没有密封的吗？各位伙伴回答下,没有,包装,-1
洗这款头发去油吗，是不是正品？,很普通的洗发水效果差不多，没什么特效,功能,0
为什么要运费啊,满免邮,物流,0
保持持久清香吗,还可以吧,效果,0
洗了会不会掉发,还可以,不良反应,0
去屑效果显著吗？,还可以，洗了很顺，头屑要好一点点，头发不会油的那么快了。,效果,0
你们的沐浴露会很不好按出来吗？,好按啊,质量,1
好闻吗味道,没有什么味道,味道,0
这款洗面奶洗脸会辣眼睛吗,还行吧，没什么刺激感,不良反应,0
像我这样69岁老人家能用吗？谢谢大家,可以的，这个好像不限年龄吧,适用性,1
桃叶的含香精，新生儿可以用吗？,可以用,适用性,1
我用了几次了发现有大量头皮屑产生头皮还很痒是怎么回事是过敏反应吗？这很不舒服,有可能是过敏,不良反应,0
这款假滑么,没有，感觉挺好用的,易冲洗,1
亲，你们收到的有塑封吗，我的啥都没有，感觉像别人用过的,没有塑封,包装,-1
有没有用了感觉掉头发的,还好吧，和以前用过的其他洗发水没有区别，该掉的还是会掉,不良反应,0
哺乳期孕妇能用吗,还是禁用，一切为了宝宝。,适用性,-1
这个洗发水冬天用冷吗,看天气变化，有时冷有时热。,适用性,0
啫喱的泡沫多吗？,多,质地,1
流到眼睛里，辣眼睛吗,辣眼睛，我姑娘用的时候手碰到沫沫，然后碰眼睛就哇哇大哭,不良反应,-1
女士能不能用,应该男女通用。,适用性,0
留香效果怎么样,感觉不留香，但是味道确实挺香的,效果,-1
是正品吗,是正品,认证产品,1
我女儿说洗的时候像有沙子样的小颗粒状大家用的是不是都这样？,目前没发现啊,质地,1
包真吗？,相信京东吧,认证产品,1
头皮屑多不,我没有头屑香味还满好的,不良反应,1
你们买的也是啥味道没有么,是的，不会有很大香味的,味道,0
100g一天用两次可以用多久？,两三月最多,使用寿命,0
请问我女儿8岁可以洗吗？？,用儿童的比较好些,适用性,0
用过的小哥哥小姐姐，这款去油效果如何,不错的,效果,1
洗完后皮肤干吗？谢谢,不干,不良反应,1
这个洗面奶可以用来卸防晒霜吗？,我觉得不行，它比较温和，所以我会先用卸妆,清洁力,-1
这款可以卸淡妆吗？,不可以,清洁力,-1
好清洗吗，会不会感觉洗不干净似的,不会洗不干净,易冲洗,1
好用嘛,我是觉得非常的滋润，完全不绷脸，对皮肤不过敏,效果,1
用了是不是很多头皮屑,没有,不良反应,1
洗头过后味道会刺鼻吗？,我觉得不刺鼻，中药的味道,味道,0
头皮干头发油适合红绿的是吗，我看评论有人说会生头皮屑，是真的吗？,我没生，不过蓬松效果只能维持一天，第二天就不行了,适用性,0
清洁的干净吗,就那样,清洁力,0
适合油性发质吗,油性用水润滋养,适用性,0
洗完身上会有冲不干净的那种假滑的感觉吗,不会,易冲洗,1
一瓶能用多久,两个人一瓶能用一年,使用寿命,0
天气一热背上就容易油腻长痘，这个沐浴露咋样,有一点祛痘效果，易冲洗，不会留香太久,效果,1
用了会不会很痒啊？我用了一次怎么感觉有一些痒呢,没有这种感觉，你可以停用再使用对比一下,不良反应,1
为什么有洗衣液的味道,我闻着像洗洁精??,味道,0
油性发质适合用吗,很适合，洗过后较干涩，再用润发乳一次就柔软了,适用性,1
可以长头发吗？,可以,功能,1
沙宣去屑效果怎么样？,还行,效果,0
这个味道有种小孩吐奶后的那种酸臭味，大家的也一样吗？闻着想吐,我感觉这个味道可以接受，不刺鼻,味道,1
为啥可悠然沐浴露比其它品牌的沐浴露质地要稀很多！？质地稀是不是清洁能力就弱？,不是的，我觉得其他里面添加了粘稠剂,质地,0
味道如何,有点怪的奶香,味道,0
这个，我就想问用完还痒吗,用了这个感觉后背有疙瘩,效果,-1
女生用女生用可以吗？,可以！控油效果很好,适用性,1
请问用了会不会头皮痒，有头屑？,不会头痒,不良反应,1
油发用了头发不油了吗,好像效果不错,效果,0
桃子的适合新生儿刚出生时候护士给宝贝洗澡用吗？,可以的,适用性,1
你们多少钱买的吗,我也花了80多,价格,0
会不会滑溜溜的冲不干净,不会!很好用.我以用洗澡了.非常棒的,易冲洗,1
混油性发质适合吗,挺不错的，不油,适用性,1
控油吗请问，还有的是香吗,控油，味道很好闻很清爽，用了很久了,味道,1
孕妇可以用吗,孕妇可以用我也是孕妇,适用性,1
这款用了会有头皮屑和头痒吗？,没有感觉,不良反应,0
干皮肤但是喜欢清爽洗的干净那种，夏天用这个油不油？,不油我挺喜欢用的也是干皮肤,适用性,1
这个能止痒吗,能,功能,1
兄弟姐妹们，控油吗？可以去屑止痒吗？好不好用，求真实回答，不要托（坑蒙拐骗不是人！）,一般般吧，味道挺好闻的,效果,0
12岁的孩子能用不，效果咋样,我家娃13，用了两周后没头屑了，头发也比以前亮，个人感觉管用,效果,0
你们买的洗发水有送赠品吗？上面说有送，我怎么没收到有赠品,毛线赠品，啥也没有,赠品,-1
清洁力怎么样,不错,清洁力,1
适合干皮吗姐妹们,我是混油皮感觉还可以,适用性,0
请问易冲洗么,这就要看是男是女了，对于女生易冲洗，她们会觉得没冲干净是因为皮肤好哈??,易冲洗,0
头屑多又痒！有效吗？,洗完还是挺舒服的，看发质,效果,0
好用吗？求真实回答,还行，桃子味比较淡，好冲洗,效果,0
男女通用的有吗,是的都OK的,适用性,1
请问樱花好闻吗？,樱花一般,味道,0
有去屑效果吗,有,效果,1
洗完会不会很滑，感觉没冲干净似的？,不会,易冲洗,1
会不会觉得很多泡沫,不会的,质地,-1
一瓶可以用几次呢,两个月左右,使用寿命,0
适合混油皮用吗,本人混油皮，使用超过六年,适用性,1
洗完会不会比较干涩？,会很滑,不良反应,1
能去屑止痒吗？,这个可以，顺滑，止痒！,功能,1
可以收缩毛孔，和祛痘痘吗,洗脸的，肯定没那么多作用,功能,0
刺激头发掉落吗,不会啊,不良反应,1
有没有宝宝洗完头皮特别痒，还酸臭酸臭的,用完起头皮屑，一点也不好用,不良反应,-1
这玩意儿泡沫多不多，会不会假滑，好冲洗吗？,泡沫多，不打滑，好冲洗,易冲洗,1
现在还有赠品吗？,刚刚收到货还有赠品,赠品,1
头发油的很快去油能力如何,我也是油性发质，一直用这款，去油效果不错,效果,1
买到的洗发水有塑料膜封口吗？,没有,包装,-1
用到后面会不会就不香了,没有啊，还挺好的,效果,0
容易洗掉吗？,一冲就好了,易冲洗,1
这个除螨效果好不好？？背部一直痒还有胳臂,效果一般，个人用了一瓶差不多没变化,效果,0
